,,,,,,
Site Name,Overall Bank Width Measured (ft),Distance from Left Bank (ft),Depth (ft),Depth (in),Notes,
Site 1,17.5,0,0,0,stream profile looking downstream with left bank on the left,
,,0.5,0,0,,
,,1,0,0,,
,,1.5,0,0,,
,,2,0,0,,
,,2.5,0.333333333,4,,
,,3,0.4375,5.25,,
,,3.5,0.4375,5.25,,
,,4,0.541666667,6.5,,
,,4.5,0.5625,6.75,,
,,5,0.583333333,7,,
,,5.5,0.583333333,7,,
,,6,0.75,9,,
,,6.5,0.791666667,9.5,,
,,7,1,12,,
,,7.5,1.020833333,12.25,,
,,8,1.229166667,14.75,,
,,8.5,1.208333333,14.5,,
,,9,1.3125,15.75,,
,,9.5,1.458333333,17.5,,
,,10,1.583333333,19,,
,,10.5,1.583333333,19,,
,,11,1.5,18,,
,,11.5,1.708333333,20.5,,
,,12,1.625,19.5,,
,,12.5,1.625,19.5,,
,,13,1.5,18,,
,,13.5,1.333333333,16,,
,,14,1.333333333,16,,
,,14.5,1.416666667,17,,
,,15,1.25,15,,
,,15.5,1,12,,
,,16,1.083333333,13,,
,,16.5,1,12,,
,,17,0,0,,
,,17.5,0,0,,
,,MAX depth,1.708333333,20.5,,
,,MIN depth,0,0,,
Site 2,9.2,0,0,0,stream profile looking downstream with left bank on the left,
,,0.5,0,0,,
,,1,0,0,,
,,1.5,0,0,,
,,2,0,0,,
,,2.5,0,0,,
,,3,0.020833333,0.25,,
,,3.5,0.1875,2.25,,
,,4,0.291666667,3.5,,
,,4.5,0.333333333,4,,
,,5,0.354166667,4.25,,
,,5.5,0.395833333,4.75,,
,,6,0.458333333,5.5,,
,,6.5,0.5625,6.75,,
,,7,0.520833333,6.25,,
,,7.5,0.145833333,1.75,,
,,8,0,0,,
,,8.5,0,0,,
,,9,0,0,,
,,9.2,0,0,,
,,MAX depth,0.5625,6.75,,
,,MIN depth,0,0,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
