,,,,,,,
Site Name,Class Name,Particle size class (mm),Total (count),% of total,Cumulative percent %,Date Collected ,Method of Collection
Site 1,Sand,< 2,0,0.00%,0.00%,5/1/25 & 5/10/25,Count and Measure
,VF gravel,2—4,0,0.00%,0.00%,,
,gravel,5—8,3,3.00%,3.00%,,
,Med. Gravel,9—16,9,9.00%,12.00%,,
,Coarse gravel,17—32,10,10.00%,22.00%,,
,VC gravel,33—64,32,32.00%,54.00%,,
,Small cobble,65—90,16,16.00%,70.00%,,
,Med. Cobble,91—128,7,7.00%,77.00%,,
,Large cobble,129—256,13,13.00%,90.00%,,
,Small boulder,257—512,6,6.00%,96.00%,,
,Med. Boulder,513—1024,4,4.00%,100.00%,,
,Large boulder,> 1025,0,0.00%,100.00%,,
,,TOTAL Count,100,,,,
Site 2,Sand,< 2,0,0.00%,0.00%,5/11/25,Count and Measure
,VF gravel,2—4,5,5.00%,5.00%,,
,gravel,5—8,21,21.00%,26.00%,,
,Med. Gravel,9—16,51,51.00%,77.00%,,
,Coarse gravel,17—32,20,20.00%,97.00%,,
,VC gravel,33—64,3,3.00%,100.00%,,
,Small cobble,65—90,0,0.00%,100.00%,,
,Med. Cobble,91—128,0,0.00%,100.00%,,
,Large cobble,129—256,0,0.00%,100.00%,,
,Small boulder,257—512,0,0.00%,100.00%,,
,Med. Boulder,513—1024,0,0.00%,100.00%,,
,Large boulder,> 1025,0,0.00%,100.00%,,
,,TOTAL Count,100,,,,
